1	Lynx 2.7.1
2	Lynx 2.7
3	Lynx 2.6
4	Lynx 2.5
5	Lynx 2.4
6	Lynx (unknown version)
7	Lotus Notes 4.5
8	AOL 4.0
9	AOL 3.0
10	Microsoft Internet Explorer 5.0 beta 2
11	Microsoft Internet Explorer 5.0 beta 1
12	Microsoft Internet Explorer 4.40
13	Microsoft Internet Explorer 4.01
14	Microsoft Internet Explorer 4.0 beta 2
15	Microsoft Internet Explorer 4.0 beta 1
16	Microsoft Internet Explorer 4.0
17	Microsoft Internet Explorer 3.02
18	Microsoft Internet Explorer 3.01
19	Microsoft Internet Explorer 3.0
20	Microsoft Internet Explorer 2.1
21	Microsoft Internet Explorer 2.0
23	Microsoft FrontPage 3.0
24	Microsoft FrontPage 2.0
25	Microsoft FrontPage Express 2.0
26	Microsoft FrontPage (unknown version)
27	ANT Fresco 1.63
28	Cyberdog 2.0
29	Cyberdog (unknown version)
30	NCSA Mosaic 3.0
31	NCSA Mosaic 2.0
32	NCSA Mosaic (unknown version)
33	Opera 3.0
34	Opera 2.12
35	Opera (unknown version)
36	HotJava 1.1
37	HotJava (unknown version)
38	AWeb 3.2
39	AWeb 3.1
40	AWeb 3.0
41	AWeb (unknown version)
42	Arena beta 3a
43	Voyager 2.96
44	Voyager 2.95
45	Voyager (unknown version)
46	Iweng 1.2
47	CacheFlow Cache 1.1
48	CacheFlow Cache (unknown version)
49	Cherry Picker SE 1.0
50	Cherry Picker SE 2.0
51	Cherry Picker SE (unknown version)
52	Echo 2.0
53	Echo 1.3
54	Echo (unknown version)
55	Go-Ahead-Got-It 1.1
56	Go-Ahead-Got-It (unknown version)
57	IBM WebExplorer 1.2
58	IBM WebExplorer 1.1
59	IBM WebExplorer 1.0
60	IBM WebExplorer (unknown version)
61	IBrowse 1.2
62	IBrowse 1.16
63	IBrowse 1.12
64	IBrowse 1.11
65	IBrowse 1.02
66	IBrowse (unknown version)
67	InfoSeek Sidewinder 0.9
68	InfoSeek Sidewinder (unknown version)
69	Java 1.1.6
70	Java 1.1.5
71	Java 1.1.4
72	Java (unknown version)
73	OmniWeb 3.0
74	OmniWeb 2.7
75	OmniWeb 2.5
76	OmniWeb 2.1.5
77	OmniWeb 2.0.1
78	OmniWeb (unknown version)
79	NETCOMplete 4.0
80	NETCOMplete 3.27
81	NETCOMplete 3.2
82	NETCOMplete (unknown version)
83	Prodigy 3.4
84	Prodigy 3.2
85	Prodigy (unknown version)
86	PlanetWeb 1.151
87	PlanetWeb 1.147
88	PlanetWeb 1.135
89	PlanetWeb 1.114
90	PlanetWeb 1.011
92	Science Traveller International 1.0
93	Science Traveller International (unknown version)
94	Teleport Pro 1.29
95	Teleport Pro 1.28
96	Teleport (unknown version)
97	TradeWave Win Web 2.0
98	WWWC 0.93
99	WWWC (unknown version)
100	WebCompass 2.0
101	WebCompass (unknown version)
102	WebTrends Link Analyzer
103	Wget 1.5.1
104	Wget 1.5.0
105	Wget 1.4.5
106	Wget (unknown version)
107	Netscape Navigator 4.5
108	Netscape Navigator 4.5 beta 2
109	Netscape Navigator 4.5 beta 1
110	Netscape Navigator 4.07
111	Netscape Navigator 4.06
112	Netscape Navigator 4.05
113	Netscape Navigator 4.04
114	Netscape Navigator 4.03
115	Netscape Navigator 4.02
116	Netscape Navigator 4.01
117	Netscape Navigator 4.0 beta 5
118	Netscape Navigator 4.0 beta 4
119	Netscape Navigator 4.0 beta 3
120	Netscape Navigator 4.0
121	Netscape Navigator Gold 3.04
122	Netscape Navigator 3.04
123	Netscape Navigator Gold 3.03
124	Netscape Navigator 3.03
125	Netscape Navigator Gold 3.02
126	Netscape Navigator 3.02
127	Netscape Navigator Gold 3.01
128	Netscape Navigator 3.01
129	Netscape Navigator Gold 3.0
130	Netscape Navigator 3.0
131	Netscape Navigator Gold 2.02
132	Netscape Navigator 2.02
133	Netscape Navigator 2.01
134	Netscape Navigator 2.0
135	Netscape Navigator 1.2
136	Netscape Navigator 1.1
138	Other (unknown)
139	Internet Ninja 3.0
142	Perl User Agent (library)
144	Babylon
145	Web Downloader 3.0
146	JustView 2.0
147	WebFetch
149	NCSA Mosaic 2.7b5
150	NaviPress 2.0
152	Nutscrape 1.0
153	NetAttache 2.5
154	WebVCR 1.5
155	Microsoft Internet Explorer 5.0
156	Netscape Navigator 4.08
157	Netscape Navigator 4.51
158	Netscape Navigator 4.6
159	Netscape Navigator 4.61
200	Netscape Navigator 4.7
201	Netscape Navigator 4.71
202	Netscape Navigator 4.72
203	Netscape Navigator 4.73
204	Netscape Navigator 6
205	Microsoft Internet Explorer 4.5 (Macintosh)
206	Microsoft Internet Explorer 5.01
207	Microsoft Internet Explorer 5.5
208	Opera 4.0 Beta
209	Opera 4.0
210	Opera 3.62
211	HotJava 3.0
212	Amaya 3.1
213	Amaya 2.4
214	Amaya (unknown version)
215	WebTV Viewer (older versions)
216	iCab 2.0
217	iCab 1.9
218	iCab (unknown version)
219	Lynx 2.8.3
220	Lynx 2.8.1
221	Voyager 3.2
222	Internet WorkHorse 0.174b
223	Internet Ninja 4.0
224	Internet Ninja 5.0
225	Internet Ninja (unknown version)
226	CompuServe 2000
227	Offline Explorer 1.3
228	Offline Explorer 1.2
229	Offline Explorer (unknown version)
230	Konqueror (unknown version)
231	Opera 3.60
233	Mozilla (Gecko) (unknown version)
234	AOL 5.0
235	Microsoft Internet Explorer 5.0 (AOL)
236	Microsoft Internet Explorer 4.01 (AOL)
